prioridad,mercado,ciudad,pais,empresa,sitio_web,rubro,empleados,facturacion_anual_usd,precision_del_dato,senal_de_calificacion,gancho_de_venta
A,LATAM,San Fernando (Zona Norte GBA),Argentina,Besten Mercedes Benz,besten.com.ar,Concesionaria premium,11-200,1M-25M,rango filtrado,Concesionario oficial Mercedes-Benz en el corazon de Zona Norte; ticket unitario de decenas de miles de USD,Bot de WhatsApp para agendar test drive y tasar usados 24/7 + landing por modelo
A,LATAM,CABA,Argentina,Toyota Viola,toyotaviola.com.ar,Concesionaria oficial,11-200,1M-25M,rango filtrado,Concesionario Toyota desde 1979 con 0km y posventa,Captacion de leads de posventa y turnos de service automatizados por WhatsApp
A,LATAM,Buenos Aires,Argentina,Auta,auta.com.ar,Compra-venta de usados de alta gama,11-200,1M-25M,rango filtrado,Modelo digital de compra-venta; ya invierten en experiencia online,Cotizador conversacional y calificacion automatica de vendedores particulares
B,LATAM,CABA,Argentina,Cycles Motoshop,cycles.com.ar,Motos de alta cilindrada y custom,11-200,1M-25M,rango filtrado,Agencia oficial desde 1989 con taller propio,Turnero de taller por WhatsApp + catalogo multipagina por marca
A,LATAM,Recoleta CABA,Argentina,Sileo Hotel,sileohotel.com,Hotel boutique,11-200,1M-10M,rango filtrado,Hotel boutique en Recoleta con galeria de arte propia; ADR alto,Motor de reserva asistido por IA y respuesta automatica en Instagram
B,LATAM,Buenos Aires,Argentina,Magna Hoteles,magnahoteles.com,Cadena hotelera boutique,11-200,1M-10M,rango filtrado,Operan varias propiedades en territorio argentino,Sitio multipropiedad con reserva directa para bajar comision de OTAs
A,LATAM,Caballito CABA,Argentina,Morelia Caballito,instagram.com/morelia_restaurant,Gastronomia de ticket alto,11-200,1M-10M,rango filtrado,SIN SITIO WEB: solo Instagram pese a facturacion de 1M USD o mas,Sitio multipagina + reservas y pedidos por WhatsApp; el dolor es evidente
A,LATAM,CABA,Argentina,Grupo Portland,grupoportland.com,Real estate y construccion,51-200,10M-25M,exacto,Desarrollador inmobiliario con operacion en Argentina y exterior,Portal de emprendimientos con captacion y nurturing de inversores por IA
A,LATAM,CABA,Argentina,Puerto & Cia (RE/MAX Puerto),instagram.com/puertoycia,Inmobiliaria de lujo,51-200,10M-25M,exacto,SIN SITIO WEB PROPIO pese a 10M-25M USD y posicionamiento de lujo silencioso,Web propia de marca + bot que califica compradores antes del agente
A,LATAM,CABA,Argentina,SMS Buenos Aires,sms.com.ar,Estudio contable y auditoria,51-200,10M-25M,exacto,Firma de auditoria fundada en 1987 con presencia internacional,Formulario inteligente de alta de clientes y bot de consultas fiscales
B,LATAM,Buenos Aires,Argentina,Fertilis Medicina Reproductiva,fertilis.com.ar,Clinica de ticket alto,11-200,1M-10M,rango filtrado,Tratamientos de fertilidad: ticket de miles de USD y ciclo de decision largo,Bot de precalificacion de pacientes y seguimiento de tratamiento por WhatsApp
A,LATAM,Monterrey,Mexico,GP Desarrollos,gpdesarrollos.com.mx,Desarrolladora inmobiliaria,51-200,10M-25M,exacto,Division inmobiliaria de Grupo GP con estandares internacionales,Micrositios por desarrollo + agente IA que agenda visitas a showroom
A,LATAM,CDMX,Mexico,Cenegenics Mexico,cenegenics.mx,Medicina de longevidad,11-200,1M-10M,rango filtrado,Programas de longevidad de ticket muy alto; 27 sedes globales,Embudo de captacion de pacientes premium con calificacion por IA
B,LATAM,CDMX,Mexico,Metamedic,metamedicmx.com,Clinica diagnostica privada,11-200,1M-10M,rango filtrado,Clinica privada fundada en 2018 con atencion personalizada,Agenda de estudios por WhatsApp y recordatorios automaticos
A,LATAM,Bacalar Quintana Roo,Mexico,La Playita Bacalar,laplayitabacalar.com,Restaurante y club de playa,11-200,1M-10M,rango filtrado,Destino turistico de alto flujo en la Riviera Maya,Reservas y eventos privados por Instagram y WhatsApp con bot multiidioma
A,LATAM,Sao Paulo,Brasil,MBRAS,mbras.com.br,Real estate de alto standing,51-200,10M-25M,exacto,Referente del mercado de lujo paulista con club de miembros,Portal de propiedades exclusivas + calificacion automatica de compradores
A,LATAM,Sao Paulo,Brasil,Vella Pugliese Buosi e Guidoni Advogados,vpbg.com.br,Estudio juridico full service,51-200,10M-25M,exacto,Firma asociada a Dentons; posicionamiento innovador declarado,Intake legal automatizado y derivacion por area de practica
A,LATAM,Sao Paulo,Brasil,Clinica Healthy,linktr.ee/clinicahealthydermatologia,Dermatologia estetica y odontologia,11-200,1M-10M,rango filtrado,SIN SITIO WEB: solo Linktree pese a 19 anos y facturacion de 1M USD o mas,Sitio multipagina por especialidad + agenda automatica por WhatsApp
B,LATAM,Sao Paulo,Brasil,Dolori Clinic,doloriclinic.com.br,Clinica de salud integrativa,11-200,1M-10M,rango filtrado,Centro de salud integrativa con tratamientos personalizados de ticket alto,Bot de triage y seguimiento de pacientes cronicos
B,LATAM,Sao Paulo,Brasil,Fertivitro,fertivitro.com.br,Reproduccion asistida,11-200,1M-10M,rango filtrado,Centro de reproduccion humana desde 2002; ticket muy alto,Precalificacion de pacientes y nurturing durante el ciclo de decision
A,LATAM,Ciudad de Panama,Panama,Panama Pacifico,panamapacifico.com,Desarrollo inmobiliario master-planned,51-200,10M-25M,exacto,Ecosistema de 705M USD con oficinas y residencial,Portal por vertical (oficinas residencial retail) con captacion segmentada
A,USA,Santa Monica Los Angeles,Estados Unidos,dr LASER,drlaserla.com,Clinica laser y medicina estetica,51-200,10M-25M,exacto,Clinica estetica de alto volumen en Santa Monica,Bot de cotizacion por tratamiento y agenda de consultas gratuitas
A,USA,Dallas,Estados Unidos,Bush and Bush Law Group,bushlawgrp.com,Estudio juridico personal injury,51-200,10M-25M,exacto,Personal injury: el vertical con mayor costo de adquisicion de leads en USA,Intake 24/7 con IA que califica casos antes del abogado
A,USA,Dallas,Estados Unidos,The Ledger Law Firm,ledgerlaw.com,Estudio juridico personal injury,51-200,10M-25M,exacto,Opera en California Texas y Washington; compite por leads pagos,Landings por estado y ciudad + intake conversacional
